city,name,description,duration,rating,reviews,price,link,image_url
New York,SUMMIT One Vanderbilt Tickets,Digital art installations and views of New York from a skyscraper terrace,Duration: 2 hours,4.7,4.7,CAD 63.57,/attractions/us/prcmokyuz7um-summit-one-vanderbilt-tickets.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/311552489.jpg?k=e89b37719a86332a0c2614adde4483194c751545202c45ef37793d289e357c68&o=
New York,9/11 Memorial & Museum Admission,Chance to visit a memorial and museum that's dedicated to the 9/11 tragedy,,4.8,4.8,CAD 36.66,/attractions/us/prgstbyhf5aj-911-memorial-museum-admission.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/311538282.jpg?k=2ee5511aad74eaf227edbd86cf61d590699de8cec41c7902730ff2052b1b5c55&o=
New York,New York CityPASS,A sightseeing pass to explore Big Apple attractions at your own pace across nine days,,4.5,4.5,CAD 198.23,/attractions/us/prj7dhkaezyz-new-york-city-pass.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/311770524.jpg?k=59f62ee23d50dfd6f1dc5e205e5a3a65efe9bc97b336d281f6c2e5d1601ef89f&o=
New York,One-hour Sightseeing Yacht Cruise,A narrated cruise with views of the Statue of Liberty and other popular attractions,,3.8,3.8,CAD 21.72,/attractions/us/prulfebtv6ii-one-hour-sightseeing-yacht-cruise.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/131507681.jpg?k=b5edb082b710ce162fcb9e7711d95af17ce222d6376b1123c6bdb5814d906ab9&o=
New York,SUMMIT One Vanderbilt Ticket,Opportunity to go on an immersive multisensory experience in New York City,,4.5,4.5,CAD 63.57,/attractions/us/pr3zhwuklbbp-summit-one-vanderbilt-ticket.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/262853565.jpg?k=b892b885a12b61422fb5a05639ad7eb8da72c57b6fd1852c8c0d650145fae508&o=
New York,New York City Statue of Liberty Super Express Cruise,The Liberty Super Express is a 50-minute round-trip sightseeing cruise that sails near the Statue...,,4.5,4.5,CAD 39.37,/attractions/us/przte2njkr2j-statue-of-liberty-super-express-cruise.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/131817281.jpg?k=058c0329364080c2923ad466effb913719237b8ea93b385bd90f95c3cf416230&o=
New York,Empire State Building Observatory,Admission to the iconic skyscraper with interactive exhibits throughout,,5,5,CAD 65.05,/attractions/us/prczoibvbaor-empire-state-building-observatory.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/312700965.jpg?k=ec7f3a9938398ea22679bd237d13ec3273f1218a0f762e117ba90af51cb97d31&o=
New York,Top of the Rock Admission,A ticket providing admission to the observation deck of the Rockefeller Center,Duration: 60 minutes,3.9,3.9,CAD 59.13,/attractions/us/prquzkch4y0v-top-of-the-rock-observation-deck-entrance-ticket.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/313765045.jpg?k=4203c293d1590fa06110284b1e291a9b525a7e2eeecc32198e4cdc567582e321&o=
New York,Admission to The Museum of Modern Art,A ticket to explore the museum of contemporary and modern art,Duration: 24 hours,4.6,4.6,CAD 40.73,/attractions/us/profee3joybk-admission-to-the-museum-of-modern-art.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/311537870.jpg?k=eec3f367ade48e9688a149f6b7637db144661d0b2085716b6ca538a9bc162007&o=
New York,American Museum of Natural History,Admission to a museum uncovering wonders of science and history with over 40 permanent exhibits,,4.5,4.5,CAD 33.91,/attractions/us/prkp9mb5yrl1-american-museum-of-natural-history.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/182531514.jpg?k=ee7eb6a5df191f5ead7c48a9472b42e439af1d947c7e1b1e06c38f33f5663fe3&o=
New York,New York Explorer Pass,A flexible pass giving you access to over 100 top New York attractions,,4.9,4.9,CAD 147.99,/attractions/us/prcxnovj6wn5-new-york-explorer-pass.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/274522566.jpg?k=849c6ee40a5d5bde14e4c7a25e1b73a7e828dda1f461053f39d7f07f022e2a46&o=
New York,Top of the Rock Admission,A ticket to see New York City views on the day of your choice,,4.6,4.6,CAD 59.13,/attractions/us/prvhxo5sfzyj-top-of-the-rock-flexible-date-ticket.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/302675157.jpg?k=f48576b7493291ab43e01121c05c80857f89a232a018344885ba74840d3a7999&o=
