city_name,description,why_visit,whats_included,whats_not_included,restrictions,additional_info,location
Private Transfer from Orlando (MCO) Airport to Southern Dunes Golf Country Club,"Take the worry out of your arrival to Orlando (MCO) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando International Airport, Jeff Fuqua Blvd 1, Southeast Orlando, Orlando, 32827The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Orlando (MCO) Airport to Palm City,"Take the worry out of your arrival to Orlando (MCO) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando International Airport, Jeff Fuqua Blvd 1, Southeast Orlando, Orlando, 32827The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Orlando (MCO) Airport to Leesburg,"Take the worry out of your arrival to Orlando (MCO) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando International Airport, Jeff Fuqua Blvd 1, Southeast Orlando, Orlando, 32827The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Orlando (MCO) Airport to Poinciana,"Take the worry out of your arrival to Orlando (MCO) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando International Airport, Jeff Fuqua Blvd 1, Southeast Orlando, Orlando, 32827The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Orlando-Sanford (SFB) Airport to New Smyrna Beach,"Take the worry out of your arrival to Orlando-Sanford (SFB) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando Sanford International Airport, Red Cleveland Blvd 1200, Sanford, 32773The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Orlando-Sanford (SFB) Airport to SeaWorld,"Take the worry out of your arrival to Orlando-Sanford (SFB) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando Sanford International Airport, Red Cleveland Blvd 1200, Sanford, 32773The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Orlando (MCO) Airport to Vero Beach,"Take the worry out of your arrival to Orlando (MCO) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando International Airport, Jeff Fuqua Blvd 1, Southeast Orlando, Orlando, 32827The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Ocoee to Orlando (MCO) Airport,"Take the worry out of your departure to Orlando Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis at the hotel, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOcoee, OcoeeThe driver will meet Guests at the hotel reception or in front of the private address provided."
Private Transfer from Orlando-Sanford (SFB) Airport to Port Canaveral,"Take the worry out of your arrival to Orlando-Sanford (SFB) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando Sanford International Airport, Red Cleveland Blvd 1200, Sanford, 32773The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Four Corners to Orlando (MCO) Airport,"Take the worry out of your departure to Orlando Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis at the hotel, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointFour Corners, Four CornersThe driver will meet Guests at the hotel reception or in front of the private address provided."
