city_name,description,why_visit,whats_included,whats_not_included,restrictions,additional_info,location
Windy City Ghost Tour,"On this nighttime walking tour, you'll get the chance to discover the most haunted places on Chicago's North Side. You'll be able to explore the affluent Lincoln Park neighbourhood and learn about its old cemetery that dates back to Civil War times.  You can also visit the haunted sites of an abandoned psychiatric hospital, a historic theatre and a Tudor-style pub. Along the way, you'll learn about the spirits that haunt the Windy City and hear spooky tales of ghost sightings and paranormal activity.",[],"['Guide services', 'Documented accounts of hauntings and paranormal activity', 'Intensely researched true stories of history']","['Dinner', 'Transportation']","['Not recommended for visitors with back problems', 'Not recommended for visitors with heart problems or serious medical conditions', 'Requires a moderate level of physical fitness']","['Please arrive at least 15 minutes before the activity starts.', 'Please arrive at least 15 minutes before the activity starts.']","Departure pointN Burling St 2021, Lincoln Park, Chicago, IL, 60614Meet your guide at the Tin Man Statue in Oz Park at the listed address. 

Your guide will be holding a lantern."
Chicago River Dinner Cruise,"On this cruise down the Chicago River, you'll have the opportunity see the city from the water as you dine on a three-course dinner onboard. From the glass ship, you'll be able to take in panoramic views of Chicago's skyline and its famous architecture. During the summer months, you'll be able to see fireworks over the city. Your meal will be served at a pace that suits your group and the menu changes seasonally. There'll be a DJ on the boat playing music to accompany your dinner.",[],"['Dinner', 'Coffee, tea and iced tea', 'Service charge']","['Alcoholic drinks', 'Tips']",['Suitable for all fitness levels'],"['Visitors must show a valid photo ID.', 'Visitors must show a valid photo ID.']","Departure pointIDOF - I Dream of Falafel, E Grand Ave 600, Streeterville, Chicago, IL, 60611The boat departs from 600 E Grand Ave 600, Streeterville."
Spray Paint and Stencil Urban Art Workshop,"This experience gives you the chance to learn the basics of street art. With an artist to provide guidance, you’ll use spray paint to create your own work of art on a canvas that you can take home. You’ll also find out how to use stencils to bring your ideas to life. You can bring your own alcoholic or non-alcoholic beverages to enjoy during the workshop.","['Chance to create original street art using spray paint and stencils', 'Original urban art on a canvas to take home after the workshop', 'Insights into professional street art with guidance from an artist']","['Workshop materials', 'Artist guide']",['Drinks'],['Please arrive at least 15 minutes before the activity starts.'],"['English (US)', 'English (US)', 'English (US)']","Spray Paint and Stencil Urban Art WorkshopChicago Kedzie Plaza, 800 N Kedzie Ave #208, Chicago, IL, 60651Meet your guide at Native 312 Events, located inside the Chicago Kedzie Plaza between the Ashley Stewart Store and Fresh Grocer."
Guided Tour of the Art Institute of Chicago,"With this ticket you'll have the chance to skip the lines and go on a private guided tour of Chicago's famed Art Institute. Over the course of two and a half hours you'll take in some of the art world's heaviest hitters, including works by Andy Warhol, Georgia O'Keeffe, Edward Hopper, Salvador Dali and Marc Chagall.",[],"['Skip-the-line admission', 'Expert tour guide']","['Hotel pickup and drop-off', 'Tips']",['Requires a moderate level of physical fitness'],"['Please arrive at least 10 minutes before the activity starts.', 'Please arrive at least 10 minutes before the activity starts.']","Departure pointThe Art Institute of Chicago, S Michigan Ave 111, Chicago Loop, Chicago, IL, 60603Please meet next to the Institute's iconic lion statues (the lion on the left when facing the museum) outside the main museum entrance loacted on South Michigan Avenue."
Premier Cruise on Lake Michigan with Lunch,"This tour in Chicago will give you the opportunity to go on a midday cruise. You’ll have the chance to spend two hours onboard the Odyssey as it sails along Lake Michigan. During this tour, you’ll have sweeping views of the city’s skyline and have access to entertainment aboard. You’ll also have a three-course lunch at the lakefront dining area.","['Panoramic views of the Chicago skyline', 'Chance to have a three-course lunch', 'Opportunity to cruise along Lake Michigan']","['Two-hour cruise', 'Three-course meal', 'Coffee, tea and iced tea']","['Additional beverages (can be purchased onboard)', 'Tips (optional)']","['Visitors must show a valid photo ID.', 'Please arrive at least 30 minutes before the activity starts.', 'Comfortable footwear is recommended.']","['English (US)', 'English (US)', 'English (US)']","Departure point600 E Grand Ave, Chicago, IL, 60611Arrive at Navy Pier.

Please note that boarding starts one hour before the scheduled departure time."
Spirit of Chicago Cruise,"This full-day boat cruise will allow you to spend the day enjoying the sights and sounds of Chicago via boat. You'll get glimpses of some of the city's most popular tourist attractions like the Museum Campus, Soldier Field, and the iconic Willis Tower. You'll also be able to eat a delicious lunch aboard the boat. There will be live music and alcoholic beverages to keep you entertained.","['Choice between a buffet-style lunch and brunch', 'Views of the Chicago skyline and attractions', 'Opportunity to relax and enjoy live music']","['Two-hour cruise', 'Buffet', 'Coffee, tea, and iced tea', 'Background music']","['Additional drinks (can be purchased on board)', 'Tips (optional)']","['This activity is not suitable for pregnant people.', 'Visitors must show a valid photo ID.', 'Please arrive at least 30 minutes before the activity starts.', 'Comfortable footwear is recommended.']","['English (US)', 'English (US)', 'English (US)']","Departure point600 E Grand Ave, Chicago, IL, 60611Meet your guide at Navy Pier.

Please note that boarding starts one hour before the scheduled departure times."
Two-hour Lakefront and Museum Campus Segway Tour,"On this sightseeing tour of Chicago, you'll hop on a Segway and ride to some of the city's most famous sights. During your two-hour excursion, you'll make stops at landmarks like Buckingham Fountain, Soldier Field, Field Museum Sheed Aquarium and the Chicago Lakefront. Your guide will provide you with a comprehensive one-on-one training session before you begin riding your Segway, as well as offering a live commentary while you explore the city.",[],"['Professional guide', 'Training and practice', 'Use of helmet', 'Use of Segway']","['Tips', 'Food and drinks', 'Hotel pickup and drop-off']",['Suitable for all fitness levels'],"['Visitors must be at least 12 years old.', 'Visitors must be at least 12 years old.', 'Visitors must weigh between 45kg and 118.', 'Visitors must weigh between 45kg and 118.', 'This activity is not suitable for pregnant people.', 'This activity is not suitable for pregnant people.', 'Children under 18 years old must be accompanied by an adult.', 'Children under 18 years old must be accompanied by an adult.', 'Please arrive at least 15 minutes before the activity starts.', 'Please arrive at least 15 minutes before the activity starts.', 'Comfortable footwear is recommended.', 'Comfortable footwear is recommended.', 'Sporty activities: please dress comfortably and in accordance with the activity.', 'Sporty activities: please dress comfortably and in accordance with the activity.', 'Operates in all weather conditions, please dress appropriately.', 'Operates in all weather conditions, please dress appropriately.']","Departure point300 E Monroe St, Chicago Loop, Chicago, IL, 60601Parking is available in the Millennium Park car park. The tour provider offers a USD 10 discount voucher for guests parking in this location. 

Once past the entrance gates, turn left towards Monroe Street. Park near 2W-level 2 and follow the signs through the breezeway to the Segway office. Look for signs that say 'Segway Tours'. Walk down the stairs. If you are walking towards the lake, the office is on the left-hand side of the street."
Lakefront Segway Tour,"On this tour, you’ll get the opportunity to take a Segway ride around Chicago and explore the city’s attractions near the lake. You’ll be able to visit the Field Museum and learn more about natural history as you discover the skeletons of dinosaurs, ancient tombs and other artefacts. You’ll ride past the Adler Planetarium, Soldier Field and other famous sights located on the shore of Lake Michigan. You’ll have the chance to enjoy scenic views and see Buckingham Fountain as you ride around Grant Park. You’ll also visit Millennium Park and explore the Lakefront Trail.",[],"['Guide services', 'Helmet use']","['Tips', 'Hotel pickup and drop-off', 'Food and drinks']",['Visitors must weigh between 45kg and 118.'],"['English (US)', 'English (US)', 'English (US)']","Departure point34 S Michigan Ave, Chicago Loop, Chicago, IL, 60603Please meet your guide at the listed address."
Kenai Fjords National Park Glacier & Wildlife Cruise,"This 6-hour cruise explores Kenai Fjords National Park and visits an actively calving tidewater glacier in beautiful Aialik Bay. Our experienced captains will narrate your cruise and point out wildlife such as whales, sea otters, sea lions, puffins, and more. Stop at the mighty Holgate or Aialik Glacier and float among the icebergs as you watch for calving, where giant chunks of ice break off and crash into the ocean. Onboard captain narration and complimentary deli lunch included.",[],"['All taxes and fees included', 'Use of binoculars', 'Reserved seating in the heated cabin', 'Onboard Naturalist Narration', 'Sandwich options are turkey, roast beef, or vegetarian.', 'Water, coffee, and tea']",['Alcoholic drinks (available to purchase)'],[],"['', '']","Departure point1412 4th Ave, 4th Ave 1412, Seward, 99664Departure Point: Major Marine Tours Check-In Office at Harbor 360 Hotel
Address: 1412 4th Ave.
Seward, Alaska 99664

If you are driving from Anchorage the morning of your cruise please allow 4 hours for the drive due to construction and traffic on the Seward Highway."
Kenai Fjords and Resurrection Bay Wildlife Cruise,"On this four-hour boat tour from Seward, you'll explore the waters of the Kenai Fjords National Park and Resurrection Bay. With an experienced captain, you'll cruise past picturesque landscapes and have the chance to spot a huge range of wildlife, including whales, sea otters and seals. Your captain will take you up close to large bird rookeries and sea lion colonies too.",[],"['Expert narration from experienced captain', 'Use of binoculars', 'Water, coffee and tea']","['Alcoholic drinks (available to purchase)', 'Hotel pickup and drop-off']",['Suitable for all fitness levels'],"['Please arrive at least 60 minutes before the activity starts.', 'Please arrive at least 60 minutes before the activity starts.']","Departure pointSeward, Seward, ALPlease check in for your tour at the tour provider's office."
